HOLIDAY | PLATINUM_MOVIE_SUITES | ADULT  | BLOCKBUSTER    | 10 |
HOLIDAY | PLATINUM_MOVIE_SUITES | ADULT  | THREEDIMENSION | 12 |
HOLIDAY | PLATINUM_MOVIE_SUITES | ADULT  | DOCUMENTARY    | 8  |
HOLIDAY | REGULAR_SCREEN        | SENIOR | BLOCKBUSTER    | 8  |
HOLIDAY | REGULAR_SCREEN        | SENIOR | THREEDIMENSION | 10 |
HOLIDAY | REGULAR_SCREEN        | SENIOR | DOCUMENTARY    | 6  |
HOLIDAY | REGULAR_SCREEN        | STUDENT| BLOCKBUSTER    | 9  |
HOLIDAY | REGULAR_SCREEN        | STUDENT| THREEDIMENSION | 11 |
HOLIDAY | REGULAR_SCREEN        | STUDENT| DOCUMENTARY    | 7  |
WEEKDAY | PLATINUM_MOVIE_SUITES | ADULT  | BLOCKBUSTER    | 9  |
WEEKDAY | PLATINUM_MOVIE_SUITES | ADULT  | THREEDIMENSION | 11 |
WEEKDAY | PLATINUM_MOVIE_SUITES | ADULT  | DOCUMENTARY    | 7  |
WEEKDAY | REGULAR_SCREEN        | SENIOR | BLOCKBUSTER    | 6  |
WEEKDAY | REGULAR_SCREEN        | SENIOR | THREEDIMENSION | 9  |
WEEKDAY | REGULAR_SCREEN        | SENIOR | DOCUMENTARY    | 5  |
WEEKDAY | REGULAR_SCREEN        | STUDENT| BLOCKBUSTER    | 8  |
WEEKDAY | REGULAR_SCREEN        | STUDENT| THREEDIMENSION | 10 |
WEEKDAY | REGULAR_SCREEN        | STUDENT| DOCUMENTARY    | 6  |
